train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_satisfaction,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_system_delay_overhead_s_per_slot,train_delay_sum_s,train_avg_completed_e2e_delay_s,train_p95_completed_e2e_delay_s,train_delay_samples,train_system_energy_overhead_kj_per_slot,train_total_dynamic_energy_j,train_energy_comp_j,train_energy_trans_j,train_cumulative_lifetime_loss,train_cum_hl_mean_satellite,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
3072,47,48,371.92479459466716,5.811324915541674,0.7487473156764496,0.7487473156764496,1397,1046,348,0,58.171875,3723.0,3.5592734225621414,5.0,1046,0.028267072698795012,1809.0926527228808,1761.8522180987209,47.24043462416058,0.01875225701437452,0.0007500902805749808,1.1720160633984075e-05,0.2776577750076348,64
3136,48,49,381.8711710057222,5.966737046964409,0.7670043415340086,0.7670043415340086,1382,1060,322,0,58.84375,3766.0,3.5528301886792453,5.0,1060,0.02983105012087424,1909.1872077359512,1864.8029295949505,44.38427814100066,0.020764850916701227,0.0008305940366680491,1.2978031822938267e-05,0.27492341350574917,64
3200,49,50,374.8424759673827,5.856913686990355,0.74,0.74,1450,1073,387,0,57.890625,3705.0,3.4529356943150047,5.0,1073,0.0315130098580195,2016.8326309132476,1971.8363329385602,44.99629797468836,0.020029975719340436,0.0008011990287736174,1.2518734824587772e-05,0.27197789214586215,64
3264,50,51,384.4410085137077,6.006890758026683,0.774264705882353,0.774264705882353,1360,1053,301,0,57.25,3664.0,3.479582146248813,5.0,1053,0.029568674716037496,1892.3951818263997,1848.5895584764944,43.805623349905595,0.01886348611369778,0.0007545394445479111,1.1789678821061111e-05,0.268828483421093,64
3328,51,52,416.5808062112437,6.509075097050683,0.7771701982228298,0.7771701982228298,1463,1137,317,0,62.140625,3977.0,3.4978012313104663,5.0,1137,0.03209989972339316,2054.393582297162,2007.5774244457511,46.816157851410594,0.020959690092534376,0.000838387603701375,1.3099806307833985e-05,0.26554145831575104,64
3392,52,53,385.8674622288985,6.029179097326539,0.7598591549295775,0.7598591549295775,1420,1079,346,0,60.609375,3879.0,3.5949953660797034,5.0,1079,0.031465629267216765,2013.8002731018728,1966.4241382944417,47.37613480743037,0.020474524284915877,0.0008189809713966351,1.2796577678072423e-05,0.2621073086013894,64
3456,53,54,362.5210901417207,5.664392033464386,0.7243055555555555,0.7243055555555555,1440,1043,397,0,58.953125,3773.0,3.61744966442953,5.0,1043,0.028984476479320447,1855.0064946765085,1805.4774707979034,49.5290238786055,0.01717552198586979,0.0006870208794347917,1.073470124116862e-05,0.2584315654981234,64
3520,54,55,386.04201438423,6.031906474753594,0.7607621736062103,0.7607621736062103,1417,1078,348,0,61.28125,3922.0,3.6382189239332097,5.0,1078,0.031593599647624974,2021.9903774479985,1975.0146145135693,46.97576293442912,0.019560390394870758,0.0007824156157948303,1.2225243996794224e-05,0.2546432043235272,64
3584,55,56,358.1260153258072,5.5957189894657375,0.7387190684133915,0.7387190684133915,1374,1015,358,0,58.40625,3738.0,3.682758620689655,5.0,1015,0.03016218713144618,1930.3799764125556,1884.2271801106447,46.15279630191093,0.017388590220233237,0.0006955436088093295,1.0867868887645774e-05,0.251318025552868,64
3648,56,57,349.22136447100274,5.456583819859418,0.7305433186490455,0.7305433186490455,1362,995,364,0,55.296875,3539.0,3.55678391959799,5.0,995,0.02936880951458232,1879.6038089332685,1835.0836397633022,44.520169169965634,0.01621058427255851,0.0006484233709023404,1.0131615170349069e-05,0.24843518213115404,64
3712,57,58,368.34016235591525,5.755315036811176,0.7389127324749643,0.7389127324749643,1398,1033,353,0,58.625,3752.0,3.6321393998063893,5.0,1033,0.027818360614518676,1780.3750793291952,1734.1185471991396,46.25653213005488,0.01575729849775086,0.0006302919399100344,9.848311561094288e-06,0.2453525855078526,64
3776,58,59,383.33304721364937,5.989578862713271,0.7650471356055112,0.7650471356055112,1379,1055,327,0,59.78125,3826.0,3.6265402843601895,5.0,1055,0.029706023745709256,1901.1855197253924,1853.7042962709772,47.48122345441581,0.015520502553238884,0.0006208201021295554,9.700314095774303e-06,0.2421163664834466,64
3840,59,60,371.2492073424359,5.800768864725561,0.7602941176470588,0.7602941176470588,1360,1034,340,0,55.921875,3579.0,3.4613152804642167,5.0,1034,0.028683543612222362,1835.7467911822312,1792.317348128745,43.4294430534869,0.01592639511636401,0.0006370558046545604,9.953996947727506e-06,0.2387251386398114,64
3904,60,61,387.4424688678861,6.05378857606072,0.7610241820768137,0.7610241820768137,1406,1070,341,0,58.953125,3773.0,3.5261682242990653,5.0,1070,0.03008959846992293,1925.7343020750675,1879.6311111926286,46.103190882438234,0.015295642742563575,0.000611825709702543,9.559776714102235e-06,0.2352720179303029,64
3968,61,62,395.49182269132336,6.179559729551928,0.7662616154395997,0.7662616154395997,1399,1072,308,0,56.375,3608.0,3.3656716417910446,5.0,1072,0.029563956326443826,1892.0932048924049,1848.7847827593075,43.30842213309702,0.014741632581994664,0.0005896653032797866,9.213520363746665e-06,0.2316787790929972,64
4032,62,63,430.59689178858275,6.7280764341966055,0.7886178861788617,0.7886178861788617,1476,1164,325,0,60.71875,3886.0,3.338487972508591,5.0,1164,0.03399565514614894,2175.7219293535322,2132.77501726021,42.9469120933222,0.017017794269773838,0.0006807117707909535,1.0636121418608648e-05,0.22817008550288023,64
4096,63,64,397.98531435256905,6.218520536758891,0.7909896602658789,0.7909896602658789,1354,1071,294,0,54.375,3480.0,3.249299719887955,5.0,1071,0.03152564619119435,2017.6413562364382,1978.786937324577,38.854418911860506,0.01483959496577373,0.0005935837986309492,9.274746853608581e-06,0.2246295406345146,64
4160,64,65,391.86462667452923,6.122884791789519,0.768451519536903,0.768451519536903,1382,1062,301,0,55.5625,3556.0,3.3483992467043313,5.0,1062,0.031345034209256044,2006.0821893923867,1964.8416223043773,41.24056708800905,0.015482793870060983,0.0006193117548024393,9.676746168788114e-06,0.2208303078308859,64
4224,65,66,390.7164363466819,6.104944317916905,0.7554157931516422,0.7554157931516422,1431,1081,348,0,57.75,3696.0,3.4190564292321923,5.0,1081,0.03206724044509164,2052.303388485865,2007.5959175734563,44.70747091240798,0.01563249676996198,0.0006252998707984792,9.770310481226237e-06,0.21700853857177457,64
4288,66,67,381.8113904390946,5.9658029756108535,0.7482369534555712,0.7482369534555712,1418,1061,356,0,57.421875,3675.0,3.463713477851084,5.0,1061,0.03071947307446756,1966.046276765924,1920.5822792020306,45.46399756389339,0.014188030876300276,0.000567521235052011,8.867519297687672e-06,0.21318785122445105,64
4352,67,68,390.00372614468347,6.093808221010679,0.7631205673758865,0.7631205673758865,1410,1076,346,0,59.796875,3827.0,3.556691449814126,5.0,1076,0.03168878766920928,2028.0824108293941,1982.5361974810169,45.54621334837688,0.014713538699702837,0.0005885415479881135,9.195961687314273e-06,0.20992579215893625,64
4416,68,69,376.25485903541437,5.8789821724283495,0.7505438723712835,0.7505438723712835,1379,1035,336,0,56.3125,3604.0,3.482125603864734,5.0,1035,0.0271666669524831,1738.6666849589183,1693.9075666859019,44.75911827301644,0.012030091182629106,0.00048120364730516426,7.5188069891431915e-06,0.20652817541601404,64
4480,69,70,411.2757846632315,6.426184135362992,0.7597315436241611,0.7597315436241611,1490,1132,362,0,60.78125,3890.0,3.4363957597173145,5.0,1132,0.03304890156485092,2115.129700150459,2068.892637036753,46.23706311370614,0.014916560514980998,0.0005966624205992399,9.322850321863123e-06,0.20293915636610485,64
4544,70,71,375.9343603747417,5.873974380855339,0.7385159010600707,0.7385159010600707,1415,1045,354,0,55.96875,3582.0,3.427751196172249,5.0,1045,0.030128044260393463,1928.1948326651816,1883.553259134864,44.64157353031746,0.01331941884237527,0.0005327767536950108,8.324636776484544e-06,0.19955605149747974,64
4608,71,72,406.0941882001822,6.345221690627847,0.7859725234996384,0.7859725234996384,1383,1087,300,0,56.53125,3618.0,3.328426862925483,5.0,1087,0.02984905105780277,1910.3392676993774,1867.2126487603389,43.126618939038394,0.012116832816116379,0.00048467331264465515,7.573020510072737e-06,0.19626353624021695,64
4672,72,73,410.8208345861299,6.419075540408279,0.7963898916967509,0.7963898916967509,1385,1103,307,0,58.171875,3723.0,3.3753399818676337,5.0,1103,0.03193327975627193,2043.7299044014035,2002.0264784164553,41.70342598494699,0.013339773737876308,0.0005335909495150523,8.337358586172693e-06,0.19272596567574243,64
