train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_avg_delay_s,train_p95_delay_s,train_delay_samples,train_total_energy_j,train_energy_comp_j,train_energy_trans_j,train_avg_energy_j_per_slot,train_cum_hl_mean_satellite,train_cum_hl_system,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
4032,62,63,-328.3342614470152,-5.130222835109612,0.7922077922077922,924,732,189,0,3.7008196721311477,6.0,732,4767.807798953482,4742.319859752684,25.487939200798213,74.49699685864816,0.004801660566756201,0.12004151416890503,7.502594635556564e-05,0.41684731172491096,64
4096,63,64,-338.1693541127444,-5.283896158011631,0.7730263157894737,912,705,207,0,3.767375886524823,6.0,705,4936.231167343111,4909.430558878903,26.800608464209926,77.12861198973611,0.004812861192965874,0.12032152982414684,7.520095614009178e-05,0.416570939576307,64
4160,64,65,-296.60342640049583,-4.634428537507747,0.7866666666666666,900,708,193,0,3.75,6.0,708,5031.662030498669,5005.494092019254,26.167938479414527,78.6197192265417,0.004422085875718245,0.11055214689295613,6.909509180809758e-05,0.41579613724520975,64
4224,65,66,-381.9387943526425,-5.967793661760039,0.7921348314606742,890,705,196,0,3.594326241134752,6.0,705,5282.655369407921,5258.466082399205,24.189287008716924,82.54149014699877,0.005265739222498838,0.13164348056247097,8.227717535154435e-05,0.41477189655136815,64
4288,66,67,-363.80605943188004,-5.684469678623126,0.7620578778135049,933,711,208,0,3.7679324894514767,6.0,711,5318.090046308132,5291.044098673894,27.04594763423608,83.09515697356456,0.005082095823627027,0.12705239559067566,7.94077472441723e-05,0.41403790395868234,64
4352,67,68,-429.2788418677857,-6.707481904184151,0.7856388595564942,947,744,199,0,3.693548387096774,6.0,744,6057.973637421707,6031.276470989819,26.697166431887975,94.65583808471418,0.005828268141683736,0.1457067035420934,9.106668971380838e-05,0.41236582328127147,64
4416,68,69,-296.47953062570207,-4.632492666026595,0.8183831672203765,903,739,177,0,3.648173207036536,6.0,739,4707.209234944991,4682.985004751578,24.224230193411955,73.55014429601549,0.004516251858280034,0.11290629645700084,7.056643528562553e-05,0.41041332845513046,64
4480,69,70,-460.6518130428978,-7.197684578795278,0.7962037962037962,1001,797,193,0,3.461731493099122,6.0,797,6663.343945134159,6638.408238690301,24.93570644385645,104.11474914272124,0.0062766892309843,0.15691723077460748,9.807326923412968e-05,0.40769481754571146,64
4544,70,71,-395.9745780251136,-6.1871027816424,0.7737373737373737,990,766,220,0,3.617493472584856,6.0,766,6512.811635000644,6485.61854492814,27.19309007250478,101.76268179688506,0.0055235632206490646,0.13808908051622662,8.630567532264163e-05,0.4058425626136303,64
4608,71,72,-371.7401736272746,-5.808440212926166,0.7924921793534933,959,760,212,0,3.718421052631579,6.0,760,5752.453818492874,5726.206400601396,26.247417891479795,89.88209091395116,0.005275933918427687,0.1318983479606922,8.243646747543261e-05,0.4037692408333549,64
4672,72,73,-354.46089048803714,-5.53845141387558,0.7946808510638298,940,747,177,0,3.7349397590361444,6.0,747,5745.255161186502,5719.201221623222,26.053939563281148,89.76961189353909,0.005115921866065644,0.12789804665164112,7.99362791572757e-05,0.4015161411631655,64
4736,73,74,-245.46577869395998,-3.8354027920931246,0.770345596432553,897,691,216,0,3.638205499276411,6.0,691,5056.15422832724,5030.802534399023,25.35169392821729,79.00240981761313,0.0038443325458729053,0.09610831364682264,6.0067696029264145e-05,0.40002122641614596,64
4800,74,75,-382.6796173126705,-5.979369020510476,0.7730569948186529,965,746,218,0,3.8056300268096517,6.0,746,5750.026734381346,5720.916615969173,29.110118412174124,89.84416772470853,0.005343362192773667,0.13358405481934166,8.349003426208854e-05,0.3993257129820278,64
4864,75,76,-298.5286135814976,-4.6645095872109,0.7649527806925498,953,729,224,0,3.8230452674897117,6.0,729,5574.380970485034,5545.468973756334,28.911996728701617,87.09970266382865,0.004456092573176983,0.11140231432942459,6.962644645589036e-05,0.39864930725134695,64
4928,76,77,-274.5019351765327,-4.289092737133323,0.7912772585669782,963,762,206,0,3.8346456692913384,6.0,762,5607.912445156955,5578.068172047215,29.844273109738435,87.62363195557742,0.0043180607699708695,0.10795151924927174,6.746969953079484e-05,0.39822153033066715,64
4992,77,78,-332.4876492292573,-5.195119519207145,0.7885032537960954,922,727,193,0,3.7290233837689133,6.0,727,5604.031930625913,5576.755500354584,27.2764302713295,87.5629989160299,0.0048293591368432105,0.12073397842108026,7.545873651317516e-05,0.39761708619254177,64
5056,78,79,-285.28189356386184,-4.457529586935341,0.7457983193277311,952,710,228,0,3.6901408450704225,6.0,710,5747.803545626814,5720.17735506434,27.626190562469468,89.80943040041898,0.004273937098519328,0.1068484274629832,6.67802671643645e-05,0.39793281820095794,64
5120,79,80,-407.2931955458196,-6.363956180403431,0.7611940298507462,938,714,232,0,3.753501400560224,6.0,714,6019.620909395613,5992.115832937811,27.505076457802453,94.05657670930646,0.005498197042879304,0.1374549260719826,8.590932879498913e-05,0.39865418021771476,64
5184,80,81,-324.5371253281863,-5.070892583252911,0.7906724511930586,922,729,192,0,3.6872427983539096,6.0,729,5774.285147345442,5749.620269361355,24.664877984086804,90.22320542727253,0.00475562137655632,0.118890534413908,7.43065840086925e-05,0.3985990341564202,64
5248,81,82,-308.7841394238302,-4.824752178497347,0.7876200640341515,937,738,210,0,3.6463414634146343,6.0,738,5333.470343111102,5308.10898496259,25.361358148513318,83.33547411111097,0.004595332226980793,0.11488330567451983,7.18020660465749e-05,0.39888915877974496,64
5312,82,83,-255.51479211987498,-3.9924186268730466,0.7989949748743719,995,795,201,0,3.5257861635220125,6.0,795,5183.423145175111,5157.964024759618,25.459120415492503,80.99098664336111,0.004211655127520435,0.10529137818801088,6.58071113675068e-05,0.3996147618543916,64
5376,83,84,-162.35447010716362,-2.5367885954244316,0.7732300884955752,904,699,201,0,3.676680972818312,6.0,699,4200.997263023319,4175.212605491506,25.784657531811227,65.64058223473936,0.0030520865646482824,0.07630216411620706,4.768885257262941e-05,0.40015263543154606,64
5440,84,85,-242.77837855293365,-3.793412164889588,0.7957219251336899,935,744,193,0,3.5591397849462365,6.0,744,4823.4371403518935,4799.754172041442,23.682968310450818,75.36620531799834,0.003971723730719397,0.09929309326798492,6.205818329249058e-05,0.4014879873705856,64
5504,85,86,-292.34871650802825,-4.567948695437941,0.805464480874317,915,737,169,0,3.5237449118046134,6.0,737,5664.881259407305,5641.395676263489,23.485583143817074,88.51376967823914,0.004479609041006311,0.11199022602515778,6.999389126572361e-05,0.40314242692038627,64
5568,86,87,-302.5635465753138,-4.727555415239278,0.82281284606866,903,743,171,0,3.3956931359353972,6.0,743,6010.686203361523,5988.416921298749,22.26928206277778,93.9169719275238,0.004594865888229417,0.11487164720573542,7.179477950358464e-05,0.4060498223110216,64
5632,87,88,-287.8055160068227,-4.496961187606605,0.8155650319829424,938,765,176,0,3.4418300653594773,6.0,765,6060.7721407020335,6039.081541959222,21.690598742815038,94.69956469846927,0.00449261551513776,0.112315387878444,7.01971174240275e-05,0.4097995678232317,64
