train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_satisfaction,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_system_delay_overhead_s_per_slot,train_delay_sum_s,train_avg_completed_e2e_delay_s,train_p95_completed_e2e_delay_s,train_delay_samples,train_system_energy_overhead_kj_per_slot,train_total_dynamic_energy_j,train_energy_comp_j,train_energy_trans_j,train_cumulative_lifetime_loss,train_cum_hl_mean_satellite,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
2112,32,33,378.66908025092823,5.916704378920754,0.7576187101346563,0.7576187101346563,1411,1069,362,0,57.265625,3665.0,3.4284377923292797,5.0,1069,0.0320863899306437,2053.5289555611967,2008.930686479897,44.59826908130003,0.020013351903352277,0.0008005340761340911,1.2508344939595173e-05,0.30240166734984203,64
2176,33,34,412.69685638875274,6.4483883810742615,0.7622841965471447,0.7622841965471447,1506,1148,352,0,62.375,3992.0,3.4773519163763065,5.0,1148,0.03390698680208265,2170.0471553332895,2120.14576876564,49.90138656764887,0.022662697269208883,0.0009065078907683553,1.4164185793255552e-05,0.30133631327785737,64
2240,34,35,411.4936112533001,6.429587675832814,0.7762525737817433,0.7762525737817433,1457,1131,323,0,59.625,3816.0,3.374005305039788,5.0,1131,0.034465312056036694,2205.7799715863484,2162.5282008315976,43.25177075475154,0.022866882786676142,0.0009146753114670457,1.429180174167259e-05,0.30008877255213,64
2304,35,36,368.20297600640816,5.753171500100128,0.768595041322314,0.768595041322314,1331,1023,316,0,51.1875,3276.0,3.2023460410557183,5.0,1023,0.029425080402741947,1883.2051457754847,1843.3411121333206,39.86403364216321,0.019288140693726724,0.000771525627749069,1.2055087933579203e-05,0.2990312106978757,64
2368,36,37,376.81190539987733,5.887686021873083,0.7736411020104245,0.7736411020104245,1343,1039,316,0,54.296875,3475.0,3.3445620789220403,5.0,1039,0.02899221797715933,1855.5019505381972,1813.4324811909908,42.069469347207054,0.01729987377205687,0.0006919949508822749,1.0812421107535545e-05,0.29858767496218896,64
2432,37,38,380.76931595277944,5.949520561762179,0.7461430575035063,0.7461430575035063,1426,1064,341,0,57.640625,3689.0,3.4671052631578947,5.0,1064,0.029425759224170643,1883.2485903469212,1836.195783846152,47.0528065007696,0.019284592842774433,0.0007713837137109773,1.205287052673402e-05,0.298080623968213,64
2496,38,39,386.07751360506694,6.032461150079171,0.7690079652425779,0.7690079652425779,1381,1062,313,0,57.640625,3689.0,3.4736346516007535,5.0,1062,0.029379757286116095,1880.3044663114301,1834.3575622506726,45.94690406075742,0.018783246797902997,0.0007513298719161199,1.1739529248689374e-05,0.2973071620712377,64
2560,39,40,376.3637135239851,5.880683023812267,0.7498248072880168,0.7498248072880168,1427,1070,370,0,58.546875,3747.0,3.5018691588785047,5.0,1070,0.03241433867183902,2074.5176749976977,2027.0131290229085,47.504545974789025,0.02132916796588417,0.0008531667186353669,1.3330729978677607e-05,0.2962596749481965,64
2624,40,41,382.8939584708784,5.982718101107475,0.7523000707714084,0.7523000707714084,1413,1063,337,0,57.828125,3701.0,3.4816556914393226,5.0,1063,0.028919643583705617,1850.8571893571595,1805.1812994813602,45.67588987579922,0.017907856174570486,0.0007163142469828194,1.1192410109106553e-05,0.29492242495619614,64
2688,41,42,403.27593943974307,6.3011865537459855,0.7701388888888889,0.7701388888888889,1440,1109,326,0,62.5625,4004.0,3.6104598737601443,5.0,1109,0.03305023163405786,2115.214824579703,2065.517050468775,49.697774110927675,0.020345936412183126,0.000813837456487325,1.2716210257614454e-05,0.2932214819539914,64
