train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_avg_delay_s,train_p95_delay_s,train_delay_samples,train_total_energy_j,train_energy_comp_j,train_energy_trans_j,train_avg_energy_j_per_slot,train_cum_hl_mean_satellite,train_cum_hl_system,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
2304,35,36,-482.483540004273,-7.538805312566765,0.7850267379679144,935,734,214,0,3.7670299727520438,6.0,734,6269.383603463488,6242.39484131836,26.988762145129336,97.959118804117,0.0063174250644243085,0.15793562661060773,9.870976663162982e-05,0.438511159443283,64
2368,36,37,-411.5851119537539,-6.431017374277404,0.7653575025176234,993,760,229,0,3.6710526315789473,6.0,760,5320.1396022238205,5292.993682165227,27.14592005859441,83.1271812847472,0.005651166327934687,0.14127915819836717,8.829947387397949e-05,0.4397204457988505,64
2432,37,38,-497.99610522882614,-7.781189144200408,0.8085339168490153,914,739,187,0,3.719891745602165,6.0,739,6309.022315823043,6283.124173393899,25.898142429142784,98.57847368473504,0.006520400633654734,0.16301001584136834,0.00010188125990085521,0.44143423575499946,64
2496,38,39,-423.0750163983298,-6.610547131223903,0.7795637198622273,871,679,190,0,3.56259204712813,6.0,679,5509.803203700406,5486.857471964246,22.945731736159058,86.09067505781884,0.005619399454008079,0.14048498635020198,8.780311646887624e-05,0.44230046093574504,64
2560,39,40,-431.54682638034615,-6.7429191621929085,0.7796432318992654,953,743,192,0,3.620457604306864,6.0,743,5770.477609597081,5745.989676937793,24.487932659287317,90.16371264995439,0.005855416317817321,0.146385407945433,9.149087996589564e-05,0.44302107432318594,64
2624,40,41,-653.8576824409408,-10.2165262881397,0.8138297872340425,940,765,176,0,3.6601307189542482,6.0,765,6787.763508420502,6762.3326762951865,25.430832125317195,106.05880481907035,0.008150379987638564,0.2037594996909641,0.00012734968730685256,0.44346759253415446,64
2688,41,42,-287.1029517385312,-4.48598362091455,0.7991071428571429,896,716,186,0,3.625698324022346,6.0,716,4062.1852452873386,4037.7228524412117,24.4623928461275,63.471644457614666,0.004356445317549619,0.10891113293874047,6.80694580867128e-05,0.4430821787098348,64
2752,42,43,-394.58582033807113,-6.165403442782361,0.787117903930131,916,721,197,0,3.735090152565881,6.0,721,5331.794953935809,5305.583604447003,26.2113494888058,83.30929615524701,0.00542934458443573,0.13573361461089326,8.483350913180828e-05,0.4419605399996894,64
2816,43,44,-387.3617032161605,-6.052526612752508,0.7927631578947368,912,723,192,0,3.6970954356846475,6.0,723,5066.549854368648,5040.822927529453,25.726926839195645,79.16484147451013,0.00536632906523224,0.134158226630806,8.384889164425375e-05,0.44106198453303286,64
2880,44,45,-471.0150373340323,-7.3596099583442545,0.7926455566905005,979,776,208,0,3.615979381443299,6.0,776,5790.179275718467,5763.023577900471,27.155697817995843,90.47155118310104,0.006307394521006703,0.15768486302516757,9.855303939072974e-05,0.4403532838431537,64
2944,45,46,-522.2475388923009,-8.160117795192201,0.7896995708154506,932,736,189,0,3.8247282608695654,6.0,736,6040.024657500592,6012.466994059752,27.55766344084051,94.37538527344675,0.006749634467455736,0.16874086168639338,0.00010546303855399587,0.44077563054168956,64
3008,46,47,-474.5119940484645,-7.414249907007258,0.8144104803493449,916,746,172,0,3.5281501340482575,6.0,746,5670.496210254713,5646.000581821016,24.495628433696083,88.6015032852299,0.0063175975207483935,0.15793993801870984,9.871246126169365e-05,0.4414815552497436,64
3072,47,48,-489.8101923226061,-7.65328425504072,0.7846481876332623,938,736,192,0,3.720108695652174,6.0,736,5450.558864327011,5422.9735822770035,27.585282050007315,85.16498225510955,0.00642007744200994,0.16050193605024848,0.00010031371003140531,0.4407435066319999,64
3136,48,49,-512.073203384982,-8.001143802890343,0.7899159663865546,952,752,206,0,3.7566489361702127,6.0,752,5947.4609923488215,5920.34419238946,27.11679995936073,92.92907800545034,0.006665558534277925,0.16663896335694814,0.00010414935209809258,0.43988936416777447,64
3200,49,50,-355.451461026964,-5.553929078546313,0.8193979933110368,897,735,180,0,3.650340136054422,6.0,735,4815.36201170003,4791.4256417353845,23.936369964646133,75.24003143281297,0.00509266203237353,0.12731655080933824,7.95728442558364e-05,0.43842915974234886,64
3264,50,51,-418.3595676083378,-6.536868243880278,0.736228813559322,944,695,215,0,3.683453237410072,6.0,695,5005.482280748137,4978.361890032626,27.120390715508226,78.21066063668964,0.005580282292124718,0.13950705730311797,8.719191081444872e-05,0.43607257747825995,64
3328,51,52,-516.9208372809435,-8.076888082514742,0.7867965367965368,924,727,209,0,3.7042640990371387,6.0,727,5687.997507055446,5660.932238984105,27.065268071337545,88.87496104774134,0.006650350606033926,0.16625876515084817,0.0001039117282192801,0.43381535628607637,64
3392,52,53,-442.9467366606199,-6.921042760322186,0.7854077253218884,932,732,203,0,3.796448087431694,6.0,732,5100.741765119226,5073.916227091256,26.8255380279696,79.69909007998791,0.00593055333385903,0.14826383334647575,9.266489584154734e-05,0.43153681341470806,64
3456,53,54,-538.0221886530023,-8.406596697703161,0.7831449126413155,973,762,200,0,3.8766404199475066,6.0,762,6451.178912687582,6421.761760902746,29.417151784837728,100.79967051074347,0.006953914691613723,0.17384786729034307,0.00010865491705646442,0.4295621536211181,64
3520,54,55,-595.435796542087,-9.30368432097011,0.7871396895787139,902,710,202,0,3.8014084507042254,6.0,710,6263.999009629714,6236.110426229201,27.88858340051247,97.87498452546428,0.007401822345810393,0.18504555864525982,0.00011565347415328739,0.42810169475086957,64
3584,55,56,-554.6646658423231,-8.666635403786298,0.7785939139559287,953,742,208,0,3.591644204851752,6.0,742,6280.653694652525,6256.176652775106,24.47704187741736,98.1352139789457,0.007064298071000295,0.1766074517750074,0.00011037965735937961,0.42698278587515115,64
3648,56,57,-573.8586963142918,-8.96654212991081,0.7961065573770492,976,777,209,0,3.6936936936936937,6.0,777,6236.391283310462,6208.327766183486,28.063517126977562,97.44361380172597,0.007339306606912204,0.1834826651728051,0.00011467666573300319,0.427404895796801,64
3712,57,58,-574.3049256185342,-8.973514462789597,0.7735644637053087,923,714,201,0,3.588235294117647,6.0,714,5767.259289634979,5741.766818831997,25.492470802980055,90.11342640054654,0.00720446450737072,0.180111612684268,0.0001125697579276675,0.4272538781057117,64
3776,58,59,-480.64897695423497,-7.510140264909921,0.7912844036697247,872,690,186,0,3.708695652173913,6.0,690,4804.559224880518,4780.768885037959,23.790339842555596,75.07123788875809,0.0062267146330524225,0.15566786582631056,9.72924161414441e-05,0.4253532372084444,64
3840,59,60,-511.72369071544244,-7.995682667428788,0.7925133689839572,935,741,197,0,3.7314439946018894,6.0,741,6246.143495551869,6219.226494686638,26.917000865231103,97.59599211799795,0.006645737804691705,0.16614344511729262,0.0001038396531983079,0.4240350948330597,64
3904,60,61,-460.0514839545458,-7.188304436789778,0.7753164556962026,948,735,217,0,3.7931972789115647,6.0,735,5648.035635975422,5618.946022829801,29.08961314562088,88.25055681211597,0.006092680627597435,0.15231701568993586,9.519813480620992e-05,0.4238155068854024,64
3968,61,62,-524.9690612100488,-8.202641581407013,0.7877777777777778,900,709,189,0,3.613540197461213,6.0,709,5608.0593951870505,5583.347118031899,24.71227715515621,87.62592804979766,0.006711495208470813,0.16778738021177034,0.00010486711263235646,0.42292342981069053,64
4032,62,63,-474.24684700317187,-7.41010698442456,0.7694805194805194,924,711,206,0,3.6877637130801686,6.0,711,5237.597258077055,5211.230334531974,26.36692354508335,81.83745715745398,0.00619048731671842,0.1547621829179605,9.672636432372532e-05,0.4218538798766933,64
4096,63,64,-427.3827032966459,-6.677854739010092,0.7861842105263158,912,717,199,0,3.7838214783821478,6.0,717,4879.620515817543,4852.772725890028,26.847789927518075,76.2440705596491,0.005740928762119223,0.14352321905298057,8.970201190811286e-05,0.42092100456719905,64
4160,64,65,-438.50705332095436,-6.851672708139912,0.7688888888888888,900,692,204,0,3.777456647398844,6.0,692,5159.083699547068,5132.023091032839,27.060608514227216,80.61068280542294,0.0057885500377468395,0.14471375094367098,9.044609433979437e-05,0.4199090045376236,64
4224,65,66,-343.41426753958797,-5.365847930306062,0.7629213483146068,890,679,218,0,3.768777614138439,6.0,679,4158.446577241773,4131.765900474304,26.68067676747089,64.97572776940271,0.004791746173866555,0.11979365434666388,7.487103396666493e-05,0.41758311923931146,64
4288,66,67,-402.247737866649,-6.285120904166391,0.7416934619506966,933,692,235,0,3.8309248554913293,6.0,692,5417.830156804872,5390.226638615561,27.603518189311618,84.65359620007612,0.005388633105741397,0.13471582764353493,8.419739227720933e-05,0.4155607607217699,64
4352,67,68,-343.8159408754507,-5.372124076178917,0.7581837381203802,947,718,217,0,3.905292479108635,6.0,718,4682.668208527765,4653.526044026076,29.14216450168771,73.16669075824633,0.00488997571046134,0.12224939276153352,7.640587047595844e-05,0.4132611431946046,64
4416,68,69,-302.62614590041596,-4.728533529693999,0.7984496124031008,903,721,195,0,3.909847434119279,6.0,721,4637.317739811272,4608.557104668172,28.760635143101783,72.45808968455113,0.0045137360659844,0.11284340164961,7.052712603100625e-05,0.4103089825296338,64
4480,69,70,-421.0708389270392,-6.579231858234987,0.7472527472527473,1001,748,245,0,3.840909090909091,6.0,748,5779.500983267838,5748.430304664241,31.070678603597813,90.30470286355997,0.005698361692694571,0.14245904231736428,8.903690144835267e-05,0.4067983751511799,64
4544,70,71,-321.27526145206673,-5.019925960188543,0.7505050505050505,990,743,246,0,3.9259757738896366,6.0,743,5279.20616006515,5248.820500982235,30.3856590829137,82.48759625101796,0.004688596129492621,0.11721490323731554,7.32593145233222e-05,0.4045101780703442,64
4608,71,72,-278.5682907514862,-4.352629542991972,0.7716371220020855,959,740,229,0,3.8716216216216215,6.0,740,4685.930213889831,4656.136437870895,29.79377601893695,73.21765959202861,0.004276996693093733,0.10692491732734333,6.682807332958958e-05,0.4024547561032699,64
4672,72,73,-387.5513649980774,-6.05549007809496,0.7968085106382978,940,749,186,0,3.826435246995995,6.0,749,5994.446591389512,5966.103024481203,28.34356690830659,93.66322799046112,0.005439281202107592,0.1359820300526898,8.498876878293112e-05,0.4000348827242817,64
4736,73,74,-415.2465808434529,-6.488227825678951,0.7480490523968785,897,671,228,0,3.8077496274217584,6.0,671,5685.914775290716,5659.2267920150425,26.687983275676892,88.84241836391743,0.00547690225696399,0.13692255642409973,8.557659776506234e-05,0.39797612584247666,64
