update,train_slots,rollout_reward_sum,rollout_reward_mean_per_slot,rollout_reward_mean_agent_per_slot
83,5312,7621.87791649431,119.09184244522359,4.763673697808944
84,5376,7555.701061587445,118.05782908730383,4.722313163492153
85,5440,7692.407211093079,120.19386267332936,4.807754506933175
86,5504,7891.596968663531,123.30620263536767,4.932248105414707
87,5568,7836.682099069678,122.44815779796372,4.897926311918549
88,5632,7606.467546355325,118.85105541180195,4.754042216472078
89,5696,7358.295272838779,114.97336363810592,4.598934545524237
90,5760,7299.696245142151,114.05775383034612,4.562310153213844
91,5824,7637.330674967998,119.33329179637497,4.773331671854999
92,5888,7863.632543194497,122.86925848741402,4.9147703394965605
93,5952,8629.89986052108,134.84218532064187,5.393687412825675
94,6016,8186.750538473806,127.91797716365322,5.116719086546129
95,6080,7374.056771724434,115.21963705819428,4.608785482327772
96,6144,8024.0985763138815,125.3765402549044,5.015061610196176
97,6208,8417.989665044142,131.53108851631472,5.261243540652589
98,6272,8139.323289858266,127.17692640403541,5.087077056161417
99,6336,7788.635349057477,121.69742732902307,4.867897093160923
100,6400,7729.050105439016,120.76640789748463,4.830656315899385
101,6464,7793.710759067011,121.77673061042205,4.871069224416882
102,6528,7853.944040117165,122.7178756268307,4.908715025073228
103,6592,7151.104946135616,111.736014783369,4.46944059133476
104,6656,7199.002979714616,112.48442155804088,4.499376862321635
105,6720,7384.036437154388,115.37556933053732,4.615022773221493
106,6784,7572.602280070153,118.32191062609614,4.7328764250438455
107,6848,8400.537085062262,131.25839195409785,5.250335678163914
108,6912,7523.136766909805,117.54901198296571,4.701960479318628
109,6976,7854.745948709851,122.73040544859143,4.909216217943657
110,7040,8180.087468187527,127.8138666904301,5.1125546676172045
111,7104,8108.516433118692,126.69556926747956,5.067822770699182
112,7168,7518.735899737807,117.48024843340323,4.699209937336129
113,7232,8101.591905128545,126.58737351763351,5.063494940705341
114,7296,7885.211740963063,123.20643345254786,4.928257338101914
115,7360,7887.686104933007,123.24509538957824,4.92980381558313
116,7424,8488.310455119215,132.62985086123774,5.30519403444951
117,7488,7515.120336733095,117.42375526145462,4.696950210458184
118,7552,7334.615252878491,114.60336332622643,4.584134533049057
119,7616,7388.789734017307,115.44983959402042,4.617993583760817
120,7680,7401.215484248423,115.64399194138161,4.625759677655265
121,7744,7395.727792400134,115.55824675625209,4.622329870250083
122,7808,7742.129136018519,120.97076775028935,4.838830710011575
123,7872,7830.0091184939365,122.34389247646776,4.89375569905871
124,7936,8106.997911869803,126.67184237296567,5.066873694918627
125,8000,7631.9806331511245,119.24969739298632,4.769987895719453
