update,train_slots,actor_loss,critic_loss,ratio_mean,entropy_mean,buffer_task_size,buffer_slot_size
49,3136,-0.016389644949231296,3138.41095703125,0.999705109745264,0.6252571240067482,2523,1600
50,3200,-0.016047698534315542,2618.0238647460938,1.0003548903124673,0.6437181326605025,2657,1600
51,3264,-0.015772560444206763,1672.5521813964845,0.9997071020114117,0.6358557144800822,2447,1600
52,3328,-0.014109140909390479,1591.590499267578,1.0001383838130207,0.6392294757249879,2614,1600
53,3392,-0.015340381138958036,1330.8651147460937,0.999457447975874,0.6416726127266884,2560,1600
54,3456,-0.014974229412562236,1513.9148547363282,1.0003542587524508,0.6537146939010154,2579,1600
55,3520,-0.013731126628089242,1422.4442712402345,1.001702911243206,0.6263931851561476,2613,1600
56,3584,-0.014968385013114465,1454.7925646972656,0.9999169064195532,0.6142565027663582,2411,1600
57,3648,-0.01143617893402011,1330.641416015625,0.9998771800444677,0.6085386459644024,2436,1600
58,3712,-0.012898484582547099,1768.5698193359376,0.997314914315939,0.6200848888605833,2518,1600
59,3776,-0.0136646926170215,1686.5376574707032,0.998510229587555,0.6163826663047075,2538,1600
60,3840,-0.012393178697675467,1460.6336401367187,0.9994900397956371,0.6362883858382702,2558,1600
61,3904,-0.012245829997433198,53723.4991015625,1.0006599635691256,0.5667804789704245,2357,1600
62,3968,-0.013139324973484403,22313.00603515625,0.9999243068067651,0.6032074242830276,2411,1600
63,4032,-0.009517832930820683,8042.3004296875,0.9996650651806877,0.6094876385870434,2642,1600
64,4096,-0.012715948317703363,2950.5660400390625,1.001785295235144,0.5948523540754576,2330,1600
65,4160,-0.010452179262080254,1838.9224841308594,1.0020583883309975,0.6245669233493316,2446,1600
66,4224,-0.009395040094670726,1234.7939935302734,1.002877430944908,0.619399525406884,2561,1600
67,4288,-0.012145834781865521,989.4733630371094,0.9997276852770549,0.6292456257634047,2569,1600
68,4352,-0.01689330237440583,955.6065557861328,0.9973742903732672,0.6340237659652058,2603,1600
69,4416,-0.011860565841197967,1146.4636407470703,1.0012935250997543,0.6203360199928284,2515,1600
70,4480,-0.010152612331633766,1433.0953393554687,1.001197432147132,0.61398017472691,2827,1600
71,4544,-0.012522187642753124,1276.83064453125,0.9997905924916267,0.591565591096878,2558,1600
72,4608,-0.00646638421614359,1543.2157159423828,0.9992279788342918,0.5949834232650152,2571,1600
73,4672,-0.011730338555089263,1650.0151684570312,1.0002920024616773,0.6097166905569475,2692,1600
74,4736,-0.011990827644561849,1756.0293518066405,0.998949837393877,0.6107800562934178,2618,1600
75,4800,-0.012892356659803126,1680.4804565429688,0.999047847588857,0.6328733795218997,2833,1600
76,4864,-0.010024443806077424,96068.2109375,0.9993490080038706,0.5675868644164159,2439,1600
77,4928,-0.0163492990944248,32942.466015625,1.0012877942659917,0.6078583964934716,2435,1600
78,4992,-0.016741402249317618,11570.097509765625,1.000392024219036,0.5861606445163489,2538,1600
79,5056,-0.012825168305780829,4490.53626953125,1.0014208308080348,0.5972715856098547,2562,1600
80,5120,-0.013168435741681606,1543.3404760742187,1.0000230945646762,0.5857659094035625,2522,1600
81,5184,-0.010569148342169467,1375.1271240234375,0.9986570605209896,0.6133131292604265,2628,1600
82,5248,-0.01466600541252552,1242.6496704101562,1.000054542611285,0.6091949561747109,2591,1600
83,5312,-0.012585606635548174,1003.6227697753907,0.9990665011107922,0.5976829037070275,2518,1600
84,5376,-0.01424748278666465,1237.9734118652343,0.9978357127734593,0.6194803654437974,2685,1600
85,5440,-0.011959733386036186,1044.3664776611329,0.9994166933354878,0.6002808085509709,2655,1600
86,5504,-0.014984444044984696,1178.0787371826173,0.9983860697688126,0.5986018050007704,2585,1600
87,5568,-0.01385354220347349,962.16865234375,1.0021750344786533,0.6067952569140944,2693,1600
88,5632,-0.01020618752679891,1286.6956726074218,0.9993749929798974,0.6024145487282011,2831,1600
89,5696,-0.018829392951501663,1190.9952172851563,0.9993949885978255,0.5834779472545136,2696,1600
90,5760,-0.012055461400781165,1184.1842834472657,1.0008030743761496,0.6098496510901235,2803,1600
91,5824,-0.010218366796739008,132858.6075,1.001397972044192,0.5732827664990174,2387,1600
92,5888,-0.012180144689642848,59466.72625,0.9997030420181079,0.569715501788335,2481,1600
93,5952,-0.013998610412024638,20286.7594140625,0.9989785355600443,0.5872096344828606,2776,1600
94,6016,-0.012576641666237265,6174.275849609375,1.0010081686079502,0.5830128524452448,2538,1600
95,6080,-0.01236766780493781,2093.158682861328,0.9988676011562347,0.5645994927734137,2523,1600
96,6144,-0.01310781725416226,877.9600689697265,1.0000624983083635,0.5908666788822129,2672,1600
97,6208,-0.012959336673486092,1149.6347143554688,1.0005571019081843,0.5887150406127885,2634,1600
98,6272,-0.014014521318419678,1073.1431561279296,1.002673319927076,0.570196898608673,2610,1600
99,6336,-0.011121961552734401,1320.3608123779297,1.0002003461122513,0.5572785603051836,2816,1600
100,6400,-0.008663690251457254,1112.9207342529296,0.9998872236507695,0.5473696153338362,2603,1600
101,6464,-0.012076343839558272,1042.6196197509767,1.0000583552397215,0.5434795499612124,2494,1600
102,6528,-0.010603839324580299,1188.0276446533203,0.9992364750968086,0.5694891856776343,2836,1600
103,6592,-0.009135145815494268,1359.9966497802734,1.0005590041046557,0.5774133121189864,2891,1600
104,6656,-0.014863802461574475,987.464857788086,1.0000512282053629,0.5666606270604664,2847,1600
