train_slot,env_slot,system_reward_sum,mean_agent_reward,arrived,done_tasks,slot_satisfied,completion_rate_episode,avg_dod,system_lifetime_loss,comp_energy_j,trans_energy_j,dynamic_energy_j
3951,110,150.7432423455323,6.0297296938212925,24,19,19,0.8099378881987578,0.34694369780498496,0.002385956715954744,697.8235341985162,0.28626152217190826,698.1097957206881
3952,111,158.21272853374163,6.328509141349665,36,23,23,0.8074255405956753,0.3471442106381376,0.004199019861210909,600.2403156569395,0.511968937177386,600.7522845941169
3953,112,162.03677089297088,6.481470835718835,22,21,21,0.8087343307723412,0.3472550278607078,0.0031388007031880596,756.3817775794495,0.27199110912870156,756.6537686885782
3954,113,149.4823496574051,5.979293986296204,21,20,20,0.809943865276664,0.3473487609092976,0.0027463523866389774,446.4415970705626,0.3092782869956149,446.7508753575582
3955,114,166.4065441265262,6.656261765061048,23,22,22,0.8112832737385777,0.3474728044805488,0.003247495506419838,508.08420372618417,0.31983422740498524,508.4040379535892
3956,115,143.45070515751482,5.7380282063005925,20,18,18,0.8119826566811195,0.3474793477151459,0.0017190148973538827,401.661784033332,0.37959669000178475,402.0413807233338
3957,116,217.54529479514648,8.70181179180586,21,26,26,0.815480844409695,0.3476148411299007,0.0028900496466659994,469.2181554655211,0.3210117116727658,469.53916717719386
3958,117,177.70546956362136,7.108218782544855,24,23,23,0.8168086754453912,0.3476939166329646,0.002743653739290553,729.1471579403999,0.21955537447231532,729.3667133148722
3959,118,159.7184840992243,6.388739363968972,22,19,19,0.8172043010752689,0.3476787780383343,0.0014456984021369145,424.8540710846152,0.26627800468813,425.1203490893033
3960,119,228.04767011309139,9.121906804523656,21,26,26,0.8205714285714286,0.3477605012230091,0.002632809154319919,428.86447413679775,0.3191360207454893,429.1836101575432
3961,120,125.84432065065201,5.03377282602608,20,15,15,0.8200378071833648,0.347704316849872,0.0009407910317916715,638.2746262592891,0.18014923866699864,638.4547754979561
3962,121,134.93624985377792,5.397449994151117,21,20,20,0.8210802700675168,0.3478065428480193,0.003236415363939464,488.9239296481389,0.1302509253478927,489.05418057348675
3963,122,175.39860163909427,7.015944065563771,21,22,22,0.8228507629326386,0.34790757419945967,0.002573504164611482,375.5168828608059,0.26951370566376415,375.78639656646965
3964,123,112.91103120763475,4.51644124830539,26,13,13,0.819756726870623,0.3478652013804887,0.000971528406243413,562.8949263212646,0.26641554504062825,563.1613418663053
3965,124,172.22230798742632,6.888892319497053,21,23,23,0.8218727139722019,0.34796055460633757,0.0029823858777146945,484.7088854132126,0.28572781118135115,484.99461322439396
3966,125,121.31433115586195,4.852573246234478,27,18,18,0.82035494386092,0.3479963626888811,0.0020621810904194113,601.5051648123076,0.38760652015421004,601.8927713324618
3967,126,106.05720318716656,4.242288127486662,17,16,16,0.8210943124550036,0.3480998629785482,0.002976035014003628,501.5098515776601,0.2531197921416725,501.76297136980173
3968,127,98.32443495386214,3.9329773981544855,27,14,14,0.8181818181818182,0.3481110850458535,0.001979621525265982,627.9204247854153,0.27533705514156737,628.1957618405569
3969,128,108.75754675085226,4.35030187003409,19,19,19,0.8194050991501416,0.3482517522035699,0.003731935926297336,551.5084817423443,0.2340290541899128,551.7425107965342
3970,129,115.13319361796249,4.605327744718499,16,14,14,0.819718309859155,0.34819947383601885,0.000925874734189563,448.5067715776727,0.18327588272676454,448.69004746039946
3971,130,153.79924470472895,6.151969788189158,21,19,19,0.8203425375742748,0.3482289263411568,0.002499558098755099,290.7451740661021,0.3427276146368634,291.087901680739
3972,131,145.8158961062131,5.832635844248524,19,18,18,0.8211805555555556,0.34824765603761704,0.002349146639067425,440.12079823218085,0.30667054010271855,440.4274687722836
3973,132,136.1002222488739,5.444008889954956,18,21,21,0.8233264320220842,0.3485280479965614,0.0047207642597372965,510.70174233828476,0.2592089907045302,510.96095132898927
3974,133,108.07477546231001,4.3229910184924005,22,17,17,0.822945205479452,0.3485758659185606,0.0021775016410122408,517.6616822307534,0.2027969771926964,517.8644792079461
3975,134,153.85410424996496,6.154164169998598,20,20,20,0.8241496598639456,0.34859133853647284,0.0020387038134648495,529.1170061460202,0.17448960578662562,529.2914957518069
3976,135,91.77767340394266,3.6711069361577064,25,14,14,0.8219224283305228,0.34858912441283463,0.0018471318900834767,484.3406205438972,0.1890920844786235,484.5297126283758
3977,136,51.270431511770724,2.050817260470829,26,10,10,0.8181210297559345,0.34859662216328036,0.0018810812536172456,450.00956374793435,0.3553099168094403,450.3648736647438
3978,137,180.85827933775423,7.234331173510169,18,25,25,0.8215353938185443,0.34872273720268504,0.004193574213154064,380.31047805902074,0.3293948005379083,380.63987285955864
3979,138,144.60039038329506,5.7840156153318025,21,17,17,0.8214521452145215,0.3486818436577059,0.001353999689783751,659.2286031997893,0.23755132500005702,659.4661545247893
3980,139,119.75424203190515,4.790169681276206,20,19,19,0.8222950819672131,0.34878701084036234,0.0033968132550209226,473.135755803285,0.23034596241688374,473.3661017657019
3981,140,123.32055047111385,4.932822018844554,30,18,18,0.8201298701298702,0.3488838631396709,0.0029473861031496917,483.7796692865096,0.44404264608119387,484.2237119325908
3982,141,84.34888016240774,3.3739552064963094,17,14,14,0.8201485308362931,0.34890555250204075,0.0021963051660363274,617.9298613064037,0.2495419041926635,618.1794032105964
3983,142,153.11768420683663,6.124707368273465,24,26,26,0.8221723806472284,0.3491690081900162,0.005879994379224848,435.41715077677577,0.3261930214573113,435.74334379823307
3984,143,138.8783237634835,5.55513295053934,25,17,17,0.8210425937698665,0.3491043394581451,0.0008883033653579951,837.629480905334,0.1906638618622094,837.8201447671962
3985,144,107.3884240649443,4.295536962597772,26,20,20,0.8206179066834804,0.34940968717504417,0.005362163328751543,515.5142402411485,0.1990740341215926,515.7133142752701
3986,145,92.42128943294233,3.6968515773176933,34,19,19,0.817841547099189,0.3496690137455702,0.005067450374410722,397.3668298361128,0.44860474625521063,397.815434582368
3987,146,114.92884118092012,4.597153647236805,31,16,16,0.8149521161569354,0.34965005755671474,0.0015369259766491777,657.1789794053878,0.4313786348363007,657.6103580402241
3988,147,182.32091101548093,7.292836440619237,34,26,26,0.8144298379700398,0.34985989543750845,0.004133300290622231,680.1128192576625,0.49407121015682537,680.6068904678193
3989,148,134.9551066264303,5.398204265057212,26,22,22,0.8146800121322414,0.3500868884371659,0.004564129453717845,632.9692380410868,0.5339841051406968,633.5032221462275
3990,149,163.34843887687754,6.533937555075101,28,28,28,0.8162406015037594,0.35038870542958755,0.00518145174763336,857.99537380598,0.4316464144265838,858.4270202204066
3991,150,117.59880126302498,4.703952050520999,19,22,22,0.8181818181818182,0.35065345247102847,0.004700398787403057,715.3821462687114,0.34829495984118375,715.7304412285525
3992,151,109.92934390026176,4.397173756010471,21,19,19,0.8187221396731055,0.35079479361865756,0.003939545379089512,469.9268669391185,0.29390495760117125,470.22077189671967
3993,152,200.09746823903484,8.003898729561394,27,25,25,0.8195754716981132,0.35093252336296776,0.003207434931477832,401.13948006712474,0.5752346332271396,401.71471470035186
3994,153,109.94249895379829,4.397699958151931,17,18,18,0.8207685538281021,0.351037880278729,0.0036245137629138625,882.1999367399364,0.2448569179135966,882.44479365785
3995,154,157.30806882630435,6.292322753052174,20,25,25,0.8232720909886264,0.3512384430779983,0.004359525672558337,440.1859777709917,0.23886487174445928,440.42484264273617
3996,155,115.9502840710858,4.638011362843432,23,17,17,0.8227114716106605,0.3513630087726446,0.003002886600616936,490.039302736372,0.27915991687152414,490.31846265324356
3997,156,107.27078211780761,4.290831284712304,25,20,20,0.822548173712971,0.3515679081676781,0.004875014074591746,381.94857878709706,0.3889151055971122,382.33749389269417
3998,157,139.37857163597292,5.575142865438917,22,17,17,0.8222349242640754,0.35151755269551255,0.0008601039942451878,767.7872202146949,0.31160584999017793,768.0988260646851
3999,158,133.90878507570346,5.356351403028139,24,20,20,0.8223105307976156,0.3516115985621834,0.0032483194245055908,654.3424590842059,0.345130274298578,654.6875893585044
4000,159,108.62225395093417,4.344890158037367,25,17,17,0.8213077790304397,0.3516588116499432,0.0026254413169714643,761.7797539567532,0.28567140278393305,762.0654253595371
4001,160,96.67897226180762,3.8671588904723047,32,19,19,0.8192737430167598,0.35178268286489933,0.004068990316593088,550.0954691602976,0.39504040887727127,550.490509569175
4002,161,82.25125931228402,3.290050372491361,22,19,19,0.8195446973903387,0.35206971293255435,0.006293693078865724,582.2941602518226,0.3848027127045402,582.6789629645272
4003,162,120.19949517469004,4.807979806987602,25,22,22,0.8199614006065619,0.3523318113669644,0.004312947326256562,527.7200629809829,0.4114060796604676,528.1314690606433
4004,163,137.27822244829915,5.491128897931966,23,21,21,0.8205479452054795,0.352428426072019,0.003160977546546596,673.4660874606835,0.3486261063906559,673.8147135670741
4005,164,112.96205897411225,4.51848235896449,21,19,19,0.8210296921819668,0.35254454217312636,0.0035395824531303894,507.8593220491716,0.37084281198707403,508.2301648611587
4006,165,119.82821455790028,4.793128582316012,22,20,20,0.8215542919036014,0.3526583131631778,0.004198980055581373,721.0965276838774,0.2768921933787301,721.3734198772562
4007,166,43.171813942374776,1.726872557694991,21,15,15,0.8209477652127086,0.3527693220678823,0.0040608931550490815,582.2562170274482,0.26090050927453506,582.5171175367227
4008,167,130.74401483810826,5.22976059352433,25,20,20,0.8208077025942765,0.3528392201322659,0.003181919623268387,539.4971713541431,0.38750448325023684,539.8846758373934
4009,168,77.23094313540247,3.089237725416099,26,18,18,0.8199203187250996,0.3530925184522353,0.005516945574571601,766.5691836342452,0.256457517715997,766.8256411519611
4010,169,139.25826537311272,5.570330614924509,11,19,19,0.8225635593220338,0.3531040488446704,0.001971395751999823,610.9303353438596,0.0666622372515356,610.9969975811111
4011,170,82.72212288126953,3.308884915250781,22,13,13,0.8212216956292786,0.3531776370438686,0.0022527455246069985,373.86835084030133,0.20074369248377472,374.06909453278513
4012,171,188.79577456199456,7.551830982479783,29,22,22,0.8207473216618761,0.35321721995840255,0.002141388818109687,343.14725031638795,0.3183129863905478,343.4655633027785
4013,172,169.45171988538075,6.77806879541523,17,20,20,0.8223204994797086,0.3532093318154931,0.0015110799276802896,548.2499043419496,0.3234998262517901,548.5734041682014
4014,173,162.51109888467957,6.5004439553871824,24,19,19,0.8221302998965874,0.3531607469995086,0.0010522352367820789,770.4948422777468,0.16422343295464842,770.6590657107014
4015,174,97.90567899558013,3.9162271598232055,24,18,18,0.8216855087358684,0.3533566508736298,0.003972043362405991,357.7297157105026,0.3489952277988693,358.07871093830147
4016,175,93.15235169264123,3.7260940677056493,21,17,17,0.8216202402248914,0.35352504906267085,0.0039289724487518215,556.2375466639821,0.2621336766351118,556.4996803406173
4017,176,120.46317891315651,4.818527156526261,20,17,17,0.821764556318332,0.35358370667800537,0.0028059996419597735,534.382635484807,0.2879109849996062,534.6705464698066
4018,177,128.2592379151143,5.130369516604572,22,18,18,0.8217446270543616,0.3537094334246047,0.002977277372913103,420.38285223473935,0.31784308192761745,420.70069531666695
4019,178,103.2459403265783,4.129837613063132,24,14,14,0.8203066097009298,0.35365393294590014,0.0009962272464630168,704.2991472177703,0.2857185694215235,704.5848657871918
4020,179,131.10052241492366,5.244020896596947,25,20,20,0.8201798201798202,0.35377616592723177,0.0036708427253803935,445.03735998285964,0.39391428891126334,445.4312742717709
4021,180,171.82865773240013,6.873146309296005,19,20,20,0.8212776534924185,0.35375064351662083,0.001390960952819132,647.8642185815966,0.26311244394148126,648.1273310255381
4022,181,81.17302412352313,3.246920964940925,16,14,14,0.8214904679376083,0.3538775673966108,0.002881252741212824,419.66020074739595,0.2020732536692581,419.8622740010652
4023,182,110.03917818655586,4.4015671274622346,31,16,16,0.8191646191646191,0.3539196117255544,0.001988486749508021,395.8707554229655,0.42927590881575295,396.3000313317812
4024,183,142.73726411040502,5.709490564416201,33,25,25,0.818669266390446,0.3541512256596996,0.005344654502719222,510.81828902453003,0.5125873016397466,511.3308763261698
4025,184,59.09067019556063,2.363626807822425,19,13,13,0.8180494905385735,0.3541598929057169,0.002424909447607606,733.4973943080973,0.4334925511710621,733.9308868592684
4026,185,188.44066651689033,7.537626660675613,27,24,24,0.8185104844540854,0.3542294042054086,0.0027457516334483817,584.6397282870805,0.5212601570316671,585.1609884441121
4027,186,153.82453862359736,6.152981544943895,25,21,21,0.8186391950167705,0.35433190981278817,0.0033335314107454197,788.130439254476,0.2916166583867173,788.4220559128627
4028,187,82.07059436841615,3.282823774736646,19,18,18,0.8192225137133318,0.3545969722650075,0.00476761027713811,783.8149244037446,0.1828670651988007,783.9977914689434
4029,188,134.74130511367662,5.3896522045470645,21,19,19,0.8196487897484576,0.3546226048812182,0.002194407883561892,403.6797846235224,0.220380390697147,403.9001650142195
4030,189,185.4202818063636,7.416811272254543,20,23,23,0.8212092583845064,0.3546951501373606,0.002610749964150368,368.81957045819064,0.29249969500904505,369.1120701531997
4031,190,171.5407701126409,6.861630804505636,23,22,22,0.8219403335682406,0.3548105197203082,0.003260724802146028,532.9446803614011,0.30161304814593776,533.246293409547
4032,191,126.9652144667184,5.078608578668736,24,17,17,0.8213034337771549,0.35487642125205404,0.002717556384272109,734.236253201596,0.22908713777800427,734.465340339374
4033,192,132.96815582404648,5.318726232961859,18,22,22,0.8229820888578739,0.35499280681935524,0.003658830226999566,400.67691248359023,0.257954488327435,400.93486697191764
4034,193,89.64880750939537,3.5859523003758147,19,13,13,0.8223714682723483,0.35499443521745905,0.0016545782188732976,407.2506768333411,0.33075327222504325,407.58143010556614
4035,194,162.7921760385602,6.511687041542408,17,21,21,0.8239907727797001,0.3550729689537148,0.002881586446472622,555.6252193078352,0.20137085237217897,555.8265901602074
4036,195,41.50087483037463,1.6600349932149852,19,10,10,0.8226917776757005,0.3550601719450195,0.0014056771026824456,536.1633930671283,0.10099658985204887,536.2643896569803
