train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_satisfaction,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_system_delay_overhead_s_per_slot,train_delay_sum_s,train_avg_completed_e2e_delay_s,train_p95_completed_e2e_delay_s,train_delay_samples,train_system_energy_overhead_kj_per_slot,train_total_dynamic_energy_j,train_energy_comp_j,train_energy_trans_j,train_cumulative_lifetime_loss,train_cum_hl_mean_satellite,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
3456,53,54,383.124568630671,5.986321384854234,0.7451388888888889,0.7451388888888889,1440,1073,364,0,55.421875,3547.0,3.305684995340168,5.0,1073,0.030462105524313502,1949.574753556064,1906.7277423404971,42.84701121556727,0.016387419445617356,0.0006554967778246942,1.0242137153510847e-05,0.2604071667481929,64
3520,54,55,419.33544276304104,6.552116293172516,0.7932251235003529,0.7932251235003529,1417,1124,292,0,58.265625,3729.0,3.3176156583629894,5.0,1124,0.030595584997854083,1958.1174398626613,1916.2613067719478,41.856133090714636,0.017173165826769463,0.0006869266330707786,1.0733228641730915e-05,0.2571060027425591,64
3584,55,56,394.40032047845045,6.162505007475788,0.7831149927219796,0.7831149927219796,1374,1076,304,0,54.671875,3499.0,3.2518587360594795,5.0,1076,0.03191930409155568,2042.8354618595638,2004.0252094074976,38.81025245206617,0.019016619012941844,0.0007606647605176738,1.1885386883088653e-05,0.253670421860219,64
3648,56,57,376.6933611672517,5.8858337682383075,0.762114537444934,0.762114537444934,1362,1038,318,0,53.0,3392.0,3.2678227360308285,5.0,1038,0.029378647635161514,1880.2334486503369,1840.2336003153098,39.999848335027046,0.016957193314823607,0.0006782877325929443,1.0598245821764754e-05,0.2504828207773142,64
3712,57,58,389.89897249818983,6.092171445284216,0.765379113018598,0.765379113018598,1398,1070,324,0,55.625,3560.0,3.3271028037383177,5.0,1070,0.03134166765059959,2005.866729638374,1965.309667637454,40.557062000919416,0.016902075569751554,0.0006760830227900621,1.056379723109472e-05,0.24745959235293474,64
3776,58,59,389.9682363137306,6.09325369240204,0.7708484408992023,0.7708484408992023,1379,1063,311,0,56.140625,3593.0,3.3800564440263408,5.0,1063,0.0292712688645692,1873.3612073324289,1830.6757639376406,42.68544339478939,0.016372351155722675,0.0006548940462289069,1.023271947232667e-05,0.2442988397661951,64
3840,59,60,369.7765451807979,5.777758518449967,0.7573529411764706,0.7573529411764706,1360,1030,336,0,54.359375,3479.0,3.377669902912621,5.0,1030,0.02869640246340477,1836.5697576579053,1795.520918861822,41.04883879608361,0.016676698229872087,0.0006670679291948835,1.0422936393670055e-05,0.2408772756371885,64
3904,60,61,382.9951407963415,5.984299074942836,0.7588904694167852,0.7588904694167852,1406,1067,347,0,58.0625,3716.0,3.4826616682286784,5.0,1067,0.03169225364318917,2028.304233164107,1983.206714342394,45.097518821713166,0.017374014147964113,0.0006949605659185645,1.085875884247757e-05,0.23740720453268005,64
3968,61,62,397.52517815034764,6.211330908599182,0.7705503931379557,0.7705503931379557,1399,1078,308,0,56.28125,3602.0,3.3413729128014844,5.0,1078,0.029277014535166478,1873.7289302506545,1832.9979600126958,40.73097023795883,0.015580755772365739,0.0006232302308946296,9.737972357728587e-06,0.23385398535622953,64
4032,62,63,408.5137528699016,6.383027388592213,0.7628726287262872,0.7628726287262872,1476,1126,348,0,60.15625,3850.0,3.419182948490231,5.0,1126,0.03585618311523574,2294.795719375087,2250.6321346833074,44.16358469177791,0.017680609814254743,0.0007072243925701898,1.1050381133909216e-05,0.2303086206300971,64
