train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_avg_delay_s,train_p95_delay_s,train_delay_samples,train_total_energy_j,train_energy_comp_j,train_energy_trans_j,train_avg_energy_j_per_slot,train_cum_hl_mean_satellite,train_cum_hl_system,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
15104,235,15080,-449.35171237456996,-7.021120505852656,0.7525655644241733,877,660,229,0,3.856060606060606,6.0,660,5734.557393784825,5707.540945588835,27.01644819598998,89.60245927788789,0.0057908676215623804,0.1447716905390595,9.04823065869122e-05,0.4266277135834774,64
15168,236,15144,-347.3099349486563,-5.4267177335727546,0.7375518672199171,964,711,248,0,3.9465541490857947,6.0,711,4817.433313327626,4788.17722773382,29.25608559380567,75.27239552074415,0.004868280015382139,0.12170700038455348,7.606687524034592e-05,0.42404961842271327,64
15232,237,15208,-466.76351775623766,-7.2931799649412135,0.8013029315960912,921,738,179,0,3.597560975609756,6.0,738,6578.594659829966,6553.283413746432,25.31124608353495,102.79054155984322,0.006213243190356764,0.15533107975891908,9.708192484932443e-05,0.42131296376348903,64
15296,238,15272,-370.07620410882157,-5.782440689200337,0.8254310344827587,928,766,171,0,3.5678851174934727,6.0,766,6370.9537949484575,6348.019154138466,22.9346408099933,99.54615304606965,0.005323081558982027,0.13307703897455067,8.317314935909417e-05,0.41980913600721026,64
15360,239,15336,-440.74687307842095,-6.886669891850327,0.8311965811965812,936,778,155,0,3.505141388174807,6.0,778,6319.830887079223,6296.171084716673,23.65980236255159,98.74735761061287,0.006076708733356112,0.1519177183339028,9.494857395868925e-05,0.4178573964727313,64
15424,240,15400,-347.3694018284964,-5.427646903570256,0.7958515283842795,916,729,183,0,3.718792866941015,6.0,729,5291.472758158845,5265.347240047355,26.12551811148862,82.67926184623195,0.004992906641271842,0.12482266603179605,7.801416626987253e-05,0.41533319876342023,64
15488,241,15464,-441.50720488152706,-6.89855007627386,0.8219461697722568,966,794,182,0,3.7329974811083124,6.0,794,7361.698452520869,7335.517761768458,26.180690752411767,115.02653832063858,0.006092782001644193,0.15231955004110484,9.519971877569052e-05,0.41351925252393085,64
15552,242,15528,-371.18769257820713,-5.7998076965344865,0.7580813347236705,959,727,225,0,3.859697386519945,6.0,727,6086.353272471462,6057.074510749368,29.278761722096053,95.0992698823666,0.005175421144455867,0.12938552861139668,8.086595538212292e-05,0.41223156690897494,64
15616,243,15592,-435.9570986939365,-6.811829667092757,0.7755775577557755,909,705,200,0,3.7886524822695034,6.0,705,6019.459497001514,5992.051336970459,27.408160031053782,94.05405464064866,0.0058019513942438655,0.14504878485609662,9.06554905350604e-05,0.4117762859428621,64
15680,244,15656,-420.7544825648854,-6.574288790076334,0.7796432318992654,953,743,210,0,3.7348586810228803,6.0,743,6232.7088630025555,6204.725163852443,27.983699150112663,97.38607598441493,0.005725399513690828,0.1431349878422707,8.945936740141918e-05,0.4113369887211472,64
